episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason,method,eval_seed,episode_index
9,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,7,1.7142857142857142,5,0.2857142857142857,1.7142857142857142,18356.919111554704,3566.4146912532124,6407.118220482773,7045.0684368781895,9823.361487688688,33.66796875,395.9802623740853,6,0.5,0.5,0.6537044657154173,0.3268522328577086,196,-110.31803472283636,,wo_mobility,7001,9
0,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,21377.079849526308,2363.9834890449515,3262.662746465093,11226.701303628532,8065.075667978574,31.8486328125,788.2629631425875,6,0.5,0.5,0.5613488878962066,0.2806744439481033,308,-158.87206198540375,,wo_mobility,7002,0
1,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,5,2.8,6,0.6,2.4,17679.931755579662,5078.937740830543,10360.000557484767,6150.551850750329,11216.823403725832,40.3037109375,312.55650110350246,8,0.6666666666666666,0.3333333333333333,0.678735651579248,0.2262452171930826,140,-108.92987088443478,,wo_mobility,7002,1
2,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.75,5,0.375,1.5,32942.26483833123,5492.015066376397,13003.255880131648,6309.920458234216,19750.13046056543,34.2333984375,562.5694876097576,4,0.3333333333333333,0.6666666666666667,0.3642736787798797,0.2428491191865865,224,-134.3017062052797,,wo_mobility,7002,2
3,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,28496.05937618744,2985.984466502312,7568.724060118106,4994.672356758782,15454.920108761267,29.7158203125,610.1438391927339,1,0.0833333333333333,0.9166666666666666,0.4211108575253646,0.3860182860649176,308,-120.14181998526944,,wo_mobility,7002,3
4,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,17736.064140663722,2117.464158127132,3532.107615739615,8853.46704612728,4845.417423499712,30.5185546875,583.2157989606156,4,0.3333333333333333,0.6666666666666667,0.6765875396496471,0.4510583597664314,252,-113.05090330981612,,wo_mobility,7002,4
5,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,14974.200690857477,1639.364389866916,3304.4700033646723,7799.66339949515,2660.4629824262524,34.0078125,811.2577712469025,5,0.4166666666666667,0.5833333333333333,0.8013783338249648,0.4674706947312295,280,-96.17420449559978,,wo_mobility,7002,5
6,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.5,3,0.375,1.5,16228.366650240723,2232.011518326474,3135.739408774105,7062.550902885695,4903.288140532035,29.853515625,538.6909032564718,6,0.5,0.5,0.7394459503305589,0.3697229751652794,224,-104.92956790513006,,wo_mobility,7002,6
7,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.625,4,0.25,1.5,16495.517142224304,3115.726710706697,6309.96310753967,5878.041714613379,8908.32435506517,30.0205078125,606.9497669447089,5,0.4166666666666667,0.5833333333333333,0.7274703724979358,0.4243577172904625,224,-109.41613558046728,,wo_mobility,7002,7
8,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,7,1.7142857142857142,5,0.2857142857142857,1.7142857142857142,18356.919111554704,3566.4146912532124,6407.118220482773,7045.0684368781895,9823.361487688688,33.66796875,395.9802623740853,6,0.5,0.5,0.6537044657154173,0.3268522328577086,196,-110.31803472283636,,wo_mobility,7002,8
9,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,7,1.8571428571428568,4,0.4285714285714285,1.7142857142857142,23036.643432999463,3972.144879352454,7314.03461074842,9577.433945742849,8735.86939884702,49.8662109375,505.0821932536043,7,0.5833333333333334,0.4166666666666666,0.5209092216451237,0.2170455090188015,196,-136.32044142358615,,wo_mobility,7002,9
0,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,5,2.8,6,0.6,2.4,17679.931755579662,5078.937740830543,10360.000557484767,6150.551850750329,11216.823403725832,40.3037109375,312.55650110350246,8,0.6666666666666666,0.3333333333333333,0.678735651579248,0.2262452171930826,140,-108.92987088443478,,wo_mobility,7003,0
1,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.75,5,0.375,1.5,32942.26483833123,5492.015066376397,13003.255880131648,6309.920458234216,19750.13046056543,34.2333984375,562.5694876097576,4,0.3333333333333333,0.6666666666666667,0.3642736787798797,0.2428491191865865,224,-134.3017062052797,,wo_mobility,7003,1
2,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,28496.05937618744,2985.984466502312,7568.724060118106,4994.672356758782,15454.920108761267,29.7158203125,610.1438391927339,1,0.0833333333333333,0.9166666666666666,0.4211108575253646,0.3860182860649176,308,-120.14181998526944,,wo_mobility,7003,2
3,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,17736.064140663722,2117.464158127132,3532.107615739615,8853.46704612728,4845.417423499712,30.5185546875,583.2157989606156,4,0.3333333333333333,0.6666666666666667,0.6765875396496471,0.4510583597664314,252,-113.05090330981612,,wo_mobility,7003,3
4,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,14974.200690857477,1639.364389866916,3304.4700033646723,7799.66339949515,2660.4629824262524,34.0078125,811.2577712469025,5,0.4166666666666667,0.5833333333333333,0.8013783338249648,0.4674706947312295,280,-96.17420449559978,,wo_mobility,7003,4
5,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.5,3,0.375,1.5,16228.366650240723,2232.011518326474,3135.739408774105,7062.550902885695,4903.288140532035,29.853515625,538.6909032564718,6,0.5,0.5,0.7394459503305589,0.3697229751652794,224,-104.92956790513006,,wo_mobility,7003,5
6,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.625,4,0.25,1.5,16495.517142224304,3115.726710706697,6309.96310753967,5878.041714613379,8908.32435506517,30.0205078125,606.9497669447089,5,0.4166666666666667,0.5833333333333333,0.7274703724979358,0.4243577172904625,224,-109.41613558046728,,wo_mobility,7003,6
7,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,7,1.7142857142857142,5,0.2857142857142857,1.7142857142857142,18356.919111554704,3566.4146912532124,6407.118220482773,7045.0684368781895,9823.361487688688,33.66796875,395.9802623740853,6,0.5,0.5,0.6537044657154173,0.3268522328577086,196,-110.31803472283636,,wo_mobility,7003,7
8,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,7,1.8571428571428568,4,0.4285714285714285,1.7142857142857142,23036.643432999463,3972.144879352454,7314.03461074842,9577.433945742849,8735.86939884702,49.8662109375,505.0821932536043,7,0.5833333333333334,0.4166666666666666,0.5209092216451237,0.2170455090188015,196,-136.32044142358615,,wo_mobility,7003,8
9,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,26936.86545943268,3021.3224428454923,6410.342162168028,7179.589563774327,14285.023684176766,30.498046875,668.4717042773689,5,0.4166666666666667,0.5833333333333333,0.4454861319358846,0.2598669102959327,280,-151.2440345980469,,wo_mobility,7003,9
